2022-05-19 23:14:15.649  INFO [PensionerDetailService,,] 18548 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 15.0.2 on LTIN300273 with PID 18548 (C:\Users\893891\saibackend\PensionManagementSystem-master (1)\PensionManagementSystem-master\pensioner-detail-microservice\target\classes started by 893891 in C:\Users\893891\saibackend\PensionManagementSystem-master (1)\PensionManagementSystem-master\pensioner-detail-microservice)
2022-05-19 23:14:15.679  INFO [PensionerDetailService,,] 18548 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 23:14:15.812  INFO [PensionerDetailService,,] 18548 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 23:14:15.813  INFO [PensionerDetailService,,] 18548 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 23:14:17.774  INFO [PensionerDetailService,,] 18548 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 23:14:17.896  INFO [PensionerDetailService,,] 18548 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 106 ms. Found 1 JPA repository interfaces.
2022-05-19 23:14:18.618  INFO [PensionerDetailService,,] 18548 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=85095809-9643-344a-ba36-0073e376c2c7
2022-05-19 23:14:20.224  INFO [PensionerDetailService,,] 18548 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2022-05-19 23:14:20.248  INFO [PensionerDetailService,,] 18548 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 23:14:20.250  INFO [PensionerDetailService,,] 18548 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 23:14:20.516  INFO [PensionerDetailService,,] 18548 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 23:14:20.518  INFO [PensionerDetailService,,] 18548 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4704 ms
2022-05-19 23:14:20.671  INFO [PensionerDetailService,,] 18548 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 23:14:21.132  INFO [PensionerDetailService,,] 18548 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 23:14:21.145  INFO [PensionerDetailService,,] 18548 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-05-19 23:14:22.419  WARN [PensionerDetailService,,] 18548 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connect timed out; nested exception is java.net.SocketTimeoutException: Connect timed out}]
2022-05-19 23:14:22.912  INFO [PensionerDetailService,,] 18548 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-19 23:14:23.057  INFO [PensionerDetailService,,] 18548 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-19 23:14:23.422  INFO [PensionerDetailService,,] 18548 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-19 23:14:23.729  INFO [PensionerDetailService,,] 18548 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-19 23:14:25.008  INFO [PensionerDetailService,,] 18548 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-19 23:14:25.026  INFO [PensionerDetailService,,] 18548 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-19 23:14:25.109  WARN [PensionerDetailService,,] 18548 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-19 23:14:25.610  INFO [PensionerDetailService,,] 18548 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : STARTED - savePensionerData
2022-05-19 23:14:25.786  INFO [PensionerDetailService,,] 18548 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : END - savePensionerData
2022-05-19 23:14:26.004  WARN [PensionerDetailService,,] 18548 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-19 23:14:28.003  INFO [PensionerDetailService,,] 18548 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9081 (http) with context path ''
2022-05-19 23:14:28.133  INFO [PensionerDetailService,,] 18548 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-19 23:14:28.170  INFO [PensionerDetailService,,] 18548 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-19 23:14:28.185  INFO [PensionerDetailService,,] 18548 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-19 23:14:28.430  INFO [PensionerDetailService,,] 18548 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Started PensionerDetailMicroserviceApplication in 13.624 seconds (JVM running for 14.588)
2022-05-19 23:19:01.359  INFO [PensionerDetailService,,] 18548 --- [http-nio-9081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 23:19:01.360  INFO [PensionerDetailService,,] 18548 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 23:19:01.363  INFO [PensionerDetailService,,] 18548 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2022-05-19 23:19:01.415  INFO [PensionerDetailService,f52863c3734d1936,a49514ffb68bbf91] 18548 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 23:19:01.416  INFO [PensionerDetailService,f52863c3734d1936,a49514ffb68bbf91] 18548 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 23:19:39.345  INFO [PensionerDetailService,badf5bf9dbf3977b,1ebdeec815f136a7] 18548 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 23:19:39.346  INFO [PensionerDetailService,badf5bf9dbf3977b,1ebdeec815f136a7] 18548 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 23:23:18.344  INFO [PensionerDetailService,840e793d0307e109,2e39c8cd379d7cdf] 18548 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 23:23:18.424  WARN [PensionerDetailService,840e793d0307e109,2e39c8cd379d7cdf] 18548 --- [http-nio-9081-exec-4] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: employee with aadhaar number not found]
2022-05-19 23:23:18.584  INFO [PensionerDetailService,7c51f0d8ad76dbda,dc133e8ef8bccab2] 18548 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 23:23:18.602  WARN [PensionerDetailService,7c51f0d8ad76dbda,dc133e8ef8bccab2] 18548 --- [http-nio-9081-exec-5] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: employee with aadhaar number not found]
2022-05-19 23:26:26.444  INFO [PensionerDetailService,82669a7e8647d108,2b953d90415e90e7] 18548 --- [http-nio-9081-exec-7] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 23:26:26.464  INFO [PensionerDetailService,82669a7e8647d108,2b953d90415e90e7] 18548 --- [http-nio-9081-exec-7] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 23:27:22.533  INFO [PensionerDetailService,7666262694498066,a7e8b595452b07a4] 18548 --- [http-nio-9081-exec-8] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 23:27:22.554  INFO [PensionerDetailService,7666262694498066,a7e8b595452b07a4] 18548 --- [http-nio-9081-exec-8] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 23:41:51.131  INFO [PensionerDetailService,d3936cc84733090c,740f6ec27b7a665d] 18548 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 23:41:51.131  INFO [PensionerDetailService,d3936cc84733090c,740f6ec27b7a665d] 18548 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - getAllDetail
