2022-05-19 23:15:05.192  INFO [ProcessPensionService,,] 24304 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : Starting ProcessPensionMicroserviceApplication using Java 15.0.2 on LTIN300273 with PID 24304 (C:\Users\893891\saibackend\PensionManagementSystem-master (1)\PensionManagementSystem-master\process-pension-microservice\target\classes started by 893891 in C:\Users\893891\saibackend\PensionManagementSystem-master (1)\PensionManagementSystem-master\process-pension-microservice)
2022-05-19 23:15:05.215  INFO [ProcessPensionService,,] 24304 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 23:15:05.332  INFO [ProcessPensionService,,] 24304 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 23:15:05.333  INFO [ProcessPensionService,,] 24304 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 23:15:07.293  INFO [ProcessPensionService,,] 24304 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 23:15:07.424  INFO [ProcessPensionService,,] 24304 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 112 ms. Found 1 JPA repository interfaces.
2022-05-19 23:15:08.129  INFO [ProcessPensionService,,] 24304 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=aedbabc9-619a-3221-8f27-00d06022321f
2022-05-19 23:15:09.730  INFO [ProcessPensionService,,] 24304 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9084 (http)
2022-05-19 23:15:09.751  INFO [ProcessPensionService,,] 24304 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 23:15:09.752  INFO [ProcessPensionService,,] 24304 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 23:15:10.306  INFO [ProcessPensionService,,] 24304 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
